Name|Language|PlantIDs
Yukon Penstemon|English|PL0153
Yukon Beardtongue|English|PL0153
Slender Beardtongue|English|PL0154,PL0156
Slender Penstemon|English|PL0154,PL0156
Slim-stem Beardtongue|English|PL0154
Slim-stem Penstemon|English|PL0154
Penstemon glaucus|Latin|PL0155
Lilac Penstemon|English|PL0155
Lilac Beardtongue|English|PL0155
Penstemon wisconsinensis|Latin|PL0156
Wisconsin Beardtongue|English|PL0156
Wisconsin Penstemon|English|PL0156
Graham's Penstemon|English|PL0157
Graham's Beardtongue|English|PL0157
Uinta Basin Beardtongue|English|PL0157
Uinta Basin Penstemon|English|PL0157
Uintah Basin Beardtongue|English|PL0157
Uintah Basin Penstemon|English|PL0157
Penstemon bradburii|Latin|PL0158
Large Penstemon|English|PL0158
Large Beardtongue|English|PL0158
Shell-leaf Penstemon|English|PL0158
Shell-leaf Beardtongue|English|PL0158
Grinnell's Beardtongue|English|PL0159,PL0160
Grinnell's Penstemon|English|PL0159,PL0160
Penstemon guadalupensis ernstii|Latin|PL0161
Guadalupe Penstemon|English|PL0161
Guadalupe Beardtongue|English|PL0161
Hall's Penstemon|English|PL0162
Hall's Beardtongue|English|PL0162
Harbour's Penstemon|English|PL0163
Harbour's Beardtongue|English|PL0163
Harrington's Penstemon|English|PL0164
Harrington's Beardtongue|English|PL0164
Havard's Penstemon|English|PL0165
Havard's Beardtongue|English|PL0165
Big Bend Penstemon|English|PL0165
Big Bend Beardtongue|English|PL0165
Blowout Beardtongue|English|PL0166
Blowout Penstemon|English|PL0166
Hayden's Penstemon|English|PL0166
Hayden's Beardtongue|English|PL0166
Sierra Penstemon|English|PL0167,PL0168
Sierra Beardtongue|English|PL0167,PL0168
Penstemon shastensis|Latin|PL0169
Shasta Pentemon|English|PL0169
Shasta Beardtongue|English|PL0169
Foothill Penstemon|English|PL0170,PL0171
Foothill Beardtongue|English|PL0170,PL0171
Southern Foothill Penstemon|English|PL0170
Southern Foothill Beardtongue|English|PL0170
Bunch-leaf Beardtongue|English|PL0171
Bunch-leaf Penstemon|English|PL0171
Penstemon spinulosus|Latin|PL0172
Purdy's Penstemon|English|PL0172
Purdy's Beardtongue|English|PL0172
Purdy's Foothill Penstemon|English|PL0172
Purdy's Foothill Beardtongue|English|PL0172
Penstemon hirsutus minimus|Latin|PL0173
Penstemon hirsutus pygmaeus|Latin|PL0173
Low Penstemon|English|PL0174,PL0175,PL0176
Low Beardtongue|English|PL0174,PL0175,PL0176
Penstemon cinereus|Latin|PL0175
Penstemon cinereus foliatus|Latin|PL0175
Penstemon decurvus|Latin|PL0175
Penstemon humilis deserticus|Latin|PL0175
Idaho Penstemon|English|PL0177
Idaho Beardtongue|English|PL0177
Steptoe Valley Penstemon|English|PL0178
Steptoe Valley Beardtongue|English|PL0178
Inflated Penstemon|English|PL0180
Inflated Beardtongue|English|PL0180
Penstemon brevibarbatus|Latin|PL0181
Penstemon jamesii typicus|Latin|PL0181
James's Penstemon|English|PL0181
James's Beardtongue|English|PL0181
Antelope Valley Penstemon|English|PL0182
Antelope Valley Beardtongue|English|PL0182
Janish’s Penstemon|English|PL0182
Janish’s Beardtongue|English|PL0182
Penstemon nyeensis|Latin|PL0183
King's Penstemon|English|PL0183
King's Beardtongue|English|PL0183
Kral's Penstemon|English|PL0184
Kral's Beardtongue|English|PL0184
San Gabriel Penstemon|English|PL0185
San Gabriel Beardtongue|English|PL0185
Southern Scarlet Penstemon|English|PL0185
Southern Scarlet Beardtongue|English|PL0185
Mountain Blue Beardtongue|English|PL0186,PL0187,PL0188
Mountain Blue Penstemon|English|PL0186,PL0187,PL0188
Western Gray Penstemon|English|PL0186,PL0187,PL0188
Western Gray Beardtongue|English|PL0186,PL0187,PL0188
Gray Penstemon|English|PL0186,PL0187,PL0188
Gray Beardtongue|English|PL0186,PL0187,PL0188
Eastern Smooth Penstemon|English|PL0189
Eastern Smooth Beardtongue|English|PL0189
Smooth Penstemon|English|PL0189,PL0319
Smooth Beardtongue|English|PL0189,PL0319
Eastern Penstemon|English|PL0189
Eastern Beardtongue|English|PL0189
Southwestern Penstemon|English|PL0190
Southwestern Beardtongue|English|PL0190
Lance-leaf Penstemon|English|PL0191,PL0284
Lance-leaf Beardtongue|English|PL0191,PL0284
Penstemon exilifolius|Latin|PL0192
Larch-leaf Beardtongue|English|PL0192,PL0193
Larch-leaf Penstemon|English|PL0192,PL0193
Penstemon australis laxiflorus|Latin|PL0194
Penstemon australis ameles|Latin|PL0194
Nodding Penstemon|English|PL0194
Nodding Beardtongue|English|PL0194
Loose-flowered Penstemon|English|PL0194
Loose-flowered Beardtongue|English|PL0194
Penstemon watsonii laxus|Latin|PL0195
Lax Penstemon|English|PL0195
Lax Beardtongue|English|PL0195
Loose Penstemon|English|PL0195
Loose Beardtongue|English|PL0195
Tufted Penstemon|English|PL0195
Tufted Beardtongue|English|PL0195
Penstemon francisci-pennellii|Latin|PL0196
Smooth-leaf Penstemon|English|PL0196,PL0198
Smooth-leaf Beardtongue|English|PL0196,PL0198
Pennell's Penstemon|English|PL0196
Pennell's Beardtongue|English|PL0196
Penstemon keckii|Latin|PL0197
Keck's Beardtongue|English|PL0197
Keck’s Penstemon|English|PL0197
Penstemon speciosus lemhiensis|Latin|PL0199
Lemhi Penstemon|English|PL0199
Lemhi Beardtongue|English|PL0199
Handsome Penstemon|English|PL0200,PL0201
Handsome Beardtongue|English|PL0200,PL0201
Penstemon higginsii|Latin|PL0202
Higgins's Penstemon|English|PL0202
Higgins's Beardtongue|English|PL0202
Leonard's  Penstemon|English| PL0203
Leonard's  Beardtongue|English| PL0203
Penstemon patricus|Latin|PL0204
Dad’s Penstemon|English|PL0204
Dad’s Beardtongue|English|PL0204
Leonard’s Penstemon|English|PL0204
Leonard’s Beardtongue|English|PL0204
Penstemon leptanthus|Latin|PL0205
Sevier Plateau Penstemon|English|PL0205
Sevier Plateau Beardtongue|English|PL0205
Penstemon coloradoensis|Latin|PL0206
Toadflax Beardtongue|English|PL0206,PL0207,PL0208
Toadflax Penstemon|English|PL0206,PL0207,PL0208
Penstemon linarioides typicus|Latin|PL0208
Maguire's Penstemon|English|PL0209
Maguire’s Beardtongue|English|PL0209
Penstemon linarioides viridis|Latin|PL0210
Siler's Beardtongue|English|PL0210
Siler’s Penstemon|English|PL0210
Penstemon cyananthus longiflorus|Latin|PL0211
Long-flower Beardtongue|English|PL0211
Long-flower Penstemon|English|PL0211
Penstemon menziesii lyallii|Latin|PL0212
Lyall's Penstemon|English|PL0212
Lyall’s Beardtongue|English|PL0212
Penstemon moffatii marcusii|Latin|PL0213
Marcus Jones’s Penstemon|English|PL0213
Marcus Jones’s Beardtongue|English|PL0213
Marcus’s Penstemon|English|PL0213
Marcus’s Beardtongue|English|PL0213
Price Penstemon|English|PL0213
Price Beardtongue|English|PL0213
Grand Mesa Penstemon|English|PL0214
Grand Mesa Beardtongue|English|PL0214
Tiger Penstemon|English|PL0214
Tiger Beardtongue|English|PL0214
Penstemon puberulus|Latin|PL0215
Metcalfe's Penstemon|English|PL0215
Metcalfe's Beardtongue|English|PL0215
Metcalfe’s Bush-beardtongue|English|PL0215
Golden-tongue Penstemon|English|PL0216
Golden-tongue Beardtongue|English|PL0216
Malheur Beardtongue|English|PL0216
Malheur Penstemon|English|PL0216
Moffatt's Penstemon|English|PL0217,PL0218
Moffatt's Beardtongue|English|PL0217,PL0218
Mono Beardtongue|English|PL0219
Mono Penstemon|English|PL0219
Central Idaho Beardtongue|English|PL0220
Central Idaho Penstemon|English|PL0220
Cord-root Penstemon|English|PL0221
Cord-root Beardtongue|English|PL0221
Mount Moriah Penstemon|English|PL0222
Mount Moriah Beardtongue|English|PL0222
Penstemon pachyphyllus mucronatus|Latin|PL0223
Sheep Creek Penstemon|English|PL0223
Sheep Creek Beardtongue|English|PL0223
Penstemon pubescens multiflorus|Latin|PL0224
Many-flower Penstemon|English|PL0224
Many-flower Beardtongue|English|PL0224
Many-flowered Penstemon|English|PL0224
Many-flowered Beardtongue|English|PL0224
Scarlet Penstemon|English|PL0225
Scarlet Beardtongue|English|PL0225
Red Penstemon|English|PL0225
Red Beardtongue|English|PL0225
Cup-leaf Penstemon|English|PL0225
Cup-leaf Beardtongue|English|PL0225
Dwarf Penstemon|English|PL0226
Dwarf Beardtongue|English|PL0226
Navajo Mountain Penstemon|English|PL0227
Navajo Mountain Beardtongue|English|PL0227
Navajo Penstemon|English|PL0227
Navajo Beardtongue|English|PL0227
New Mexico Penstemon|English|PL0228
New Mexico Beardtongue|English|PL0228
Derived Penstemon|English|PL0229
Derived Beardtongue|English|PL0229
Plumas County Penstemon|English|PL0229
Plumas County Beardtongue|English|PL0229
Penstemon berryi|Latin|PL0230
Berry's Beardtongue|English|PL0230
Berry’s Penstemon|English|PL0230
Berry’s Mountain Pride|English|PL0230
Mountain Pride|English|PL0231
Newberry’s Beardtongue|English|PL0231
Newberry’s Penstemon|English|PL0231
Penstemon sonomensis|Latin|PL0232
Sonoma Beardtongue|English|PL0232
Sonoma Penstemon|English|PL0232
Wax-leaf Beardtongue|English|PL0233,PL0234
Wax-leaf Penstemon|English|PL0233,PL0234
Flagstaff Penstemon|English|PL0235
Flagstaff Beardtongue|English|PL0235
Oklahoma Penstemon|English|PL0236
Oklahoma Beardtongue|English|PL0236
Penstemon pseudoparvus|Latin|PL0237
Apache Penstemon|English|PL0237
Apache Beardtongue|English|PL0237
Penstemon jamesii ophianthus|Latin|PL0238
Arizona Penstemon|English|PL0238
Arizona Beardtongue|English|PL0238
Coiled Anther Penstemon|English|PL0238
Coiled Anther Beardtongue|English|PL0238
Osterhout's Penstemon|English|PL0239
Osterhout's Beardtongue|English|PL0239
Egg-leaf Penstemon|English|PL0240
Egg-leaf Beardtongue|English|PL0240
Ovate-leaf Penstemon|English|PL0240
Ovate Leaf Beardtongue|English|PL0240
Ovate-leaf Penstemon|English|PL0240
Ovate Leaf Beardtongue|English|PL0240
Penstemon acuminatus congestus|Latin|PL0241
